PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36581592","Corrigendum to ""Factors of importance for discontinuation of thiazides associated with hyponatremia in Sweden - a population-based register study""","","Pharmacoepidemiol Drug Saf. 2023 Mar;32(3):395. doi: 10.1002/pds.5588. Epub 2022 Dec 29.","","Pharmacoepidemiol Drug Saf","2023","2022/12/29","","","10.1002/pds.5588"
"36527437","Federated analyses of multiple data sources in drug safety studies","Gedeborg R, Igl W, Svennblad B, Wilén P, Delcoigne B, Michaëlsson K, Ljung R, Feltelius N.","Pharmacoepidemiol Drug Saf. 2023 Mar;32(3):279-286. doi: 10.1002/pds.5587. Epub 2022 Dec 30.","Gedeborg R","Pharmacoepidemiol Drug Saf","2023","2022/12/17","","","10.1002/pds.5587"
"36527432","Use patterns of systemic immunomodulators in the United States before and after dupilumab approval in adults with atopic dermatitis","Anand P, Schneeweiss S, Mostaghimi A, Schneeweiss MC.","Pharmacoepidemiol Drug Saf. 2023 May;32(5):567-576. doi: 10.1002/pds.5586. Epub 2022 Dec 28.","Anand P","Pharmacoepidemiol Drug Saf","2023","2022/12/17","PMC10073264","NIHMS1859247","10.1002/pds.5586"
"36524772","Pharmacogenetics of warfarin and healthcare costs - Real-world data analysis","Lähteenmäki J, Vuorinen AL, Lehto M, Niemi M, Forsberg MM.","Pharmacoepidemiol Drug Saf. 2023 Mar;32(3):382-386. doi: 10.1002/pds.5585. Epub 2022 Dec 22.","Lähteenmäki J","Pharmacoepidemiol Drug Saf","2023","2022/12/16","","","10.1002/pds.5585"
"36495188","Validation of safety outcomes in routinely collected data: Lessons learned from a multinational postapproval safety study","Arena PJ, Huang K, Löfling L, Bahmanyar S, Mo J, Schachterle SE, Nunes AP, Smits E, Juuti R, Hoti F, Korhonen P, Adelborg K, Sundbøll J, Rasmussen TR, Løkke A, Ehrenstein V.","Pharmacoepidemiol Drug Saf. 2023 May;32(5):592-596. doi: 10.1002/pds.5582. Epub 2022 Dec 29.","Arena PJ","Pharmacoepidemiol Drug Saf","2023","2022/12/10","","","10.1002/pds.5582"
"36479785","Recent tapering from long-term opioid therapy and odds of opioid-related hospital use","Mazurenko O, Blackburn J, Zhang P, Gupta S, Harle CA, Kroenke K, Simon K.","Pharmacoepidemiol Drug Saf. 2023 May;32(5):526-534. doi: 10.1002/pds.5581. Epub 2022 Dec 12.","Mazurenko O","Pharmacoepidemiol Drug Saf","2023","2022/12/08","","","10.1002/pds.5581"
"36464785","Prospective validation of a dynamic prognostic model for identifying COVID-19 patients at high risk of rapid deterioration","Lin KJ, D'Andrea E, Desai RJ, Gagne JJ, Liu J, Wang SV.","Pharmacoepidemiol Drug Saf. 2023 May;32(5):545-557. doi: 10.1002/pds.5580. Epub 2022 Dec 19.","Lin KJ","Pharmacoepidemiol Drug Saf","2023","2022/12/05","PMC9877647","","10.1002/pds.5580"
"36458420","Validation of algorithms to select patients with multiple myeloma and patients initiating myeloma treatment in the national Veterans Affairs Healthcare System","La J, DuMontier C, Hassan H, Abdallah M, Edwards C, Verma K, Ferri G, Dharne M, Yildirim C, Corrigan J, Gaziano JM, Do NV, Brophy MT, Driver JA, Munshi NC, Fillmore NR.","Pharmacoepidemiol Drug Saf. 2023 May;32(5):558-566. doi: 10.1002/pds.5579. Epub 2022 Dec 28.","La J","Pharmacoepidemiol Drug Saf","2023","2022/12/02","","","10.1002/pds.5579"
"36448210","Recommendations on the calculation of confidence intervals for sequence symmetry analyses","Lund LC, Hallas J.","Pharmacoepidemiol Drug Saf. 2023 Mar;32(3):392-394. doi: 10.1002/pds.5578. Epub 2022 Dec 8.","Lund LC","Pharmacoepidemiol Drug Saf","2023","2022/11/30","","","10.1002/pds.5578"
"36444965","Impact of direct-acting antiviral treatment for hepatitis C on cardiovascular diseases and extrahepatic cancers","Lam L, Fontaine H, Lapidus N, Dorival C, Bellet J, Larrey D, Nahon P, Diallo A, Cagnot C, Lusivika-Nzinga C, Téoulé F, Hejblum G, Bourlière M, Pol S, Carrat F; ANRS/AFEF Hepather study group.","Pharmacoepidemiol Drug Saf. 2023 Apr;32(4):486-495. doi: 10.1002/pds.5576. Epub 2022 Dec 5.","Lam L","Pharmacoepidemiol Drug Saf","2023","2022/11/29","","","10.1002/pds.5576"
