"STUDY_ID","REVIEWERS","INCLUDE","AUTHORS","YEAR","TITLE","JOURNAL","DOI","ABSTRACT","PMID"
"3","Anna","NO","","2022","Abstracts of the 38th international conference on pharmacoepidemiology: advancing pharmacoepidemiology and real-world evidence for the global community, august 26-28, 2022, copenhagen, denmark.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5518","Na","36148859"
"4","Anna","YES","Kollhorst B;Reinders T;Grill S;Eberle A;Intemann T;Kieschke J;Meyer M;Nennecke A;Rathmann W;Pigeot I","2022","Record linkage of claims and cancer registries data-evaluation of a deterministic linkage approach based on indirect personal identifiers.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5545","In germany, record linkage of claims and cancer registry data is cost- and time-consuming, since up until recently no unique personal identifier was available in both data sources. The aim of this study was to evaluate the feasibility and performance of a deterministic linkage procedure based on indirect personal identifiers included in the data sources. We identified users of glucose-lowering drugs with residence in four federal states in northern and southern germany (bavaria, bremen, hamburg, lower saxony) in the german pharmacoepidemiological research database (gepard) and assessed colorectal and thyroid cancer cases. Cancer registries of the federal states selected all colorectal and thyroid cancer cases between 2004 and 2015. A deterministic linkage approach was performed based on indirect personal identifiers such as year of birth, sex, area of residence, type of cancer and an absolute difference between the dates of cancer diagnosis in both data sources of at most 90 days. Results were compared to a probabilistic linkage using ""direct"" personal identifiers (gold standard). The deterministic linkage procedure yielded a sensitivity of 71.8% for colorectal cancer and 66.6% for thyroid cancer. For thyroid cancer, the sensitivity improved when using only inpatient diagnosis to define cancer in gepard (71.4%). Specificity was always above 99%. Using the probabilistic linkage to define cancer cases, the risk for colorectal cancer was estimated 10 percentage points lower than when using the deterministic approach. Sensitivity of the deterministic linkage approach appears to be too low to be considered as reasonable alternative to the probabilistic linkage procedure.","36129372"
"5","Anna","maybe","Dell'aniello S;Renoux C;Suissa S","2022","Regarding: webster-clark m., et al. Alternative analytic and matching approaches for the prevalent new-user design: a simulation study. Pharmacoepidemiol drug saf, 31, pp. 796-803; 2022.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5543","Na","36125081"
"6","Anna","YES","Cafri G;Wood J;Gagne J","2022","Partition testing for real-world evidence studies.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5540","Traditional approaches to hypothesis testing in comparative post-approval safety and effectiveness studies of medical products are often inadequate because of a limited scope of possible inferences (e.g., superiority or inferiority). Often there is interest in simultaneously testing for superiority, equivalence, inferiority, non-inferiority, and non-superiority, which can be achieved using a partition testing framework. Partition testing only requires selection of an equivalence margin and calculation of a two-sided wald confidence interval. In addition to permitting a broader range of inferences, the strengths of the approach include: mitigating publication bias, avoiding use of a clinically irrelevant nil hypothesis, and more transparent and impartial appraisal of the clinical importance of a study's findings by pre-specifying an equivalence margin. However, a challenge in implementing the approach can be the process for identifying an equivalence margin. The methodology is illustrated using a published study of the safety of ondansetron for the off-label treatment of nausea and vomiting during pregnancy. Applying the method to the study results would have led to a conclusion that women exposed to ondansetron in comparison to those that are not, are equivalent with respect to risk of cardiac malformations and oral clefts. These conclusions are more in line with the magnitude of the observed effects than the conclusions resulting from a traditional inferiority/superiority testing conducted by the study authors.","36089808"
"7","Anna","YES","Zhu N;Lisinski A;Lagerberg T;Johnell K;Xu H;Carrero Jj;Chang Z","2022","Kidney function and prescribed dose in middle-aged and older patients starting selective serotonin reuptake inhibitors.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5515","To avoid adverse drug reactions, dose reductions are recommended when prescribing selective serotonin reuptake inhibitors (ssris) to patients with impaired kidney function. The extent of this practice in routine clinical care is however unknown. We aimed to evaluate the starting and maintenance ssri doses prescribed to patients stratified by levels of kidney function in real-world practice. Using data from the stockholm creatinine measurements (scream) project, we identified 101 409 new users of antidepressants (including 52 286 ssri users) in the region of stockholm during 2006-2019, who were ≥50 years of age and had a recent creatinine test taken in order to estimate glomerular filtration rate (egfr). Ssri dose reduction was defined as a prescribed ssri dose of ≤0.5 defined daily doses, according to current recommendations. We examined the associations between egfr and reductions in initial dose and maintenance dose of ssris using logistic regression models. Overall, reductions in initial and maintenance dose were observed among 54.1% and 34.1% of new ssri users. Nevertheless, about 40% of individuals with an egfr <30 ml/min/1.73 m  were prescribed an ssri without dose reduction. After adjusting for age and other covariates, lower egfr was associated with moderately higher odds of dose reduction, for both initial and maintenance dose. Compared to individuals with an egfr of 90-104 ml/min/1.73 m  , the adjusted odds ratios for those with an egfr <30 ml/min/1.73 m  were 1.18 (95% ci: 1.03, 1.36) for initial dose reduction, and 1.49 (1.29, 1.72) for maintenance dose reduction. Stratified analyses showed stronger associations between lower egfr and ssri dose reduction among individuals aged 50-64 years and in those receiving prescriptions from psychiatric care. Lower kidney function was moderately associated with a reduced ssri dose, independently of age. Prescribing ssris to middle-aged and older patients should not only consider patients' age but also their kidney function.","36076345"
"11","Anna","YES","Francis M;Spiller Ha;Badeti J;Casavant Mj;Michaels Nl;Zhu M;Smith Ga","2022","Antidepressant exposures associated with exploratory behavior among young children reported to united states poison control centers, 2000-2020.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5534","This study investigates characteristics and trends of antidepressant exposures among children <6 years old related to exploratory behavior reported to us poison control centers. Using data from the national poison data system for 2000-2020, population-based annual exposure rates by sex, antidepressant category, serious medical outcome, and health care facility admission were analyzed and odds ratios to assess associations of exposure type and antidepressant category with medical outcome and admission were calculated. There were 215 909 first-ranked unintentional exploratory exposures involving antidepressants among children <6 years old during the study period, averaging 10 281 annually. Most cases were <3 years old (77.8%), involved a single substance (86.9%), and did not receive treatment at a health care facility (57.6%); however, 7.9% were admitted and 3.4% had serious medical outcomes, including 13 deaths. Ssris were involved in 56.9% of all cases. Compared with ssris, bupropion (or: 5.22, 95% ci: 4.68-5.82), tcas (or: 3.74, 95% ci: 3.44-4.07), snris (or: 2.39, 95% ci: 2.11-2.71), and lithium salts (or: 2.00, 95% ci: 1.63-2.46) were more likely to be associated with a serious medical outcome. Tcas were the first-ranked substance in 7 of the 13 deaths. Although most unintentional antidepressant exposures related to pediatric exploratory behavior were inconsequential, an important minority of cases required admission to a hcf or had a serious medical outcome, including 13 deaths. Therefore, increased efforts to prevent these exposures among young children are needed, including public education and improved medication packaging.","35999648"
"16","Anna","NO","Gatto Nm;Wang Sv;Murk W;Mattox P;Brookhart Ma;Bate A;Schneeweiss S;Rassen Ja","2022","Visualizations throughout pharmacoepidemiology study planning, implementation, and reporting.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5529","Transparency is increasingly promoted to instill trust in nonrandomized studies using real-world data. Graphics and data visualizations support transparency by aiding communication and understanding, and can inform study design and analysis decisions. However, other than graphical representation of a study design and flow diagrams (e.g., a consolidated standards of reporting trials [consort] like diagram), specific standards on how to maximize validity and transparency with visualization are needed. This paper provides guidance on how to use visualizations throughout the life cycle of a pharmacoepidemiology study-from initial study design to final report-to facilitate rationalized and transparent decision-making about study design and implementation, and clear communication of study findings. Our intent is to help researchers align their practices with current consensus statements on transparency.","35984046"
"17","Anna","NO","Pinheiro Lc;Kurz X","2022","Artificial intelligence in pharmacovigilance: a regulatory perspective on explainability.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5524","Na","35959980"
"18","Anna","maybe","Liao Kf;Hwang Bf;Kuo Yh;Liu Cs;Lai Sw","2022","Metformin, pioglitazone and gout risk.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5516","Na","35924394"
"19","Anna","NO","","2022","Prescribing and research in medicines management - primm 33rd annual scientific meeting, manchester, uk, 10 june 2022, personomics: putting the patient at the centre of prescribing and medicines use.","Pharmacoepidemiology And Drug Safety","10.1002/pds.5499","Na","35914898"
