Timestamp,PMID (from spreadsheet),DOI (from spreadsheet) ,Title,Could the article share programming code?,Publication Type PDS,Publication Aim,Is the analysis based on simulated data? ,Is this COVID-19 research? (is COVID-19 or SARS-CoV-2 in title or abstract?) ,Who was the funder? ,Is this industry funding?,Which database(s) were used (LEAVE BLANK)? ,Which country/ies does the database cover? (NA if not does not apply) ,What language or platform was used for the analyses? ,Author affiliation (check all that apply) ,Is code supporting the analysis or method linked or referenced in the manuscript or in supporting information? ,Is the published code accessible without further contacting authors? ,Where is code shared? ,What parts of the analysis pipeline are covered by the code?,Does the code include instructions for how to run it? ,Does the article contain synthetic data to enable code to be run by others? ,If there is synthetic data or it is a simulation study; does the code run? ,Does the code have a license?,"If yes, what is the license? ",Does the article specify preprinting?,Are underlying data shared?,Are codelists shared?,Did the article specify whether the research was pre-registered? ,Does the article specify following a certain reporting guideline? ,"If yes, what reporting guidelines"
6/21/2023 15:25:09,36129372,10.1002/pds.5545,Record linkage of claims and cancer registries data—Evaluation of a deterministic linkage approach based on indirect personal identifiers,"Yes, because it's an analysis of real or simulated data",Original Article,Methodological,No,No,Deutsche Forschungsgemeinschaft,No,"German Pharmacoepidemiological Research Database (GePaRD) and Cancer registries of the federal states Bavaria, Bremen, Hamburg, Lower Saxony ",Germany,None/Not Specified,"Academic, Third sector",No,,,,,,,,,No,No,At least one,No,No,
6/21/2023 15:44:59,35569136,10.1002/pds.5478,Myopericarditis following COVID-19 mRNA vaccination,No,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/2023 15:48:07,35560855,10.1002/pds.5450,Parity in female authorship in Australian pharmacoepidemiology research leveraging medicine dispensing data: How well are we doing?,"Yes, because it's an analysis of real or simulated data",Letters to the Editor,Editorial/Opinion Piece,No,No,"National Health and Medical Research Council; Centre of Research Excellence in Medicines Intelligence, Grant/Award Number: GNT1196900",No,Not Applicable,NA,"R, JavaScript",Academic,No,,,,,,,,,No,No,Not applicable,No,No,
6/21/2023 16:00:59,35505471,10.1002/pds.5446,Alternative analytic and matching approaches for the prevalent new-user design: A simulation study,"Yes, because it's an analysis of real or simulated data",Original Article,Methodological,Yes,No,Johnson and Johnson; National Institutes of Health; Janssen Pharmaceuticals,Partly,Not Applicable,NA,None/Not Specified,"Industry, Academic",Yes,Yes,Supplementary materials (doc or pdf),"Creation of analytical files (select study population and create variables), Statistical analysis",Yes in comments,Not applicable,Flag (investigate later due to software access),No,,No,Not applicable to this type of analysis,Not applicable,No,No,
6/21/2023 16:11:23,35484637,10.1002/pds.5445,Trends in antipsychotic use for youth with attention-deficit/hyperactivity disorder and disruptive behavior disorders,"Yes, because it's an analysis of real or simulated data",Brief Report,Clinical,No,No,None,No,IQVIA PharMetrics,US ,SAS,Academic,No,,,,,,,,,No,No,All,No,No,
6/21/2023 16:16:41,35470515,10.1002/pds.5442,Evaluating the population-level effects of oxycodone restrictions on prescription opioid utilization in Ontario,"Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,"Canadian Institutes of Health Research, Grant/Award Number: SAF-94814",No,Ontario Drug Benefit Program (ODBP) formulary,Canada,None/Not Specified,"Academic, Third sector",No,,,,,,,,,No,No,All,No,No,
6/21/2023 16:21:18,35426193,10.1002/pds.5441,Applying mixture cure survival modeling to medication persistence analysis,"Yes, because it's an analysis of real or simulated data",Original Article,Methodological,No,No,None,Don't know,"Medicare/Medicaid, South Carolina State Health Plan (private insurance) ",United States,R,Academic,No,,,,,,,,,No,No,At least one,No,No,
6/21/2023 16:26:46,35404496,10.1002/pds.5439,Risk of myopericarditis following COVID-19 mRNA vaccination in a large integrated health system: A comparison of completeness and timeliness of two methods,"Yes, because it's an analysis of real or simulated data",Brief Report,Methodological,No,Yes,None,Don't know,"Kaiser Permanente Northwest (KPNW), a VSD participant",US,Stata,Third sector,No,,,,,,,,,No,No,All,No,No,
6/21/2023 16:34:19,35366035,10.1002/pds.5435,"Influenza vaccination during pregnancy and risk of selected major structural noncardiac birth defects, National Birth Defects Prevention Study 2006–2011","Yes, because it's an analysis of real or simulated data",Original Article,Clinical,No,No,Centers for Disease Control and Prevention,No,Primary data collection,United States,None/Not Specified,"Academic, Government",No,,,,,,,,,No,No,Not applicable,No,No,
6/21/2023 16:37:24,35320606,10.1002/pds.5431,Hormonal contraception use before and after breast cancer diagnosis: A nationwide drug utilization study,"Yes, because it's an analysis of real or simulated data",Brief Report,Clinical,No,No,The Danish Cancer Society's Scientific Committee,No,Danish National Registries,Denmark,None/Not Specified,"Academic, Third sector",No,,,,,,,,,No,No,At least one,No,No,
