"","Overall"
"n","1107"
"language (%)",""
"   @Risk software (version 6","  1 ( 0.1) "
"   a custom-built Java application called Jerboa Reloaded","  1 ( 0.1) "
"   Access","  1 ( 0.1) "
"   Aetion","  8 ( 0.7) "
"   Comprehensive Meta-Analysis software","  1 ( 0.1) "
"   DistillerSR","  1 ( 0.1) "
"   Excel"," 25 ( 2.3) "
"   Graphpad Prism","  7 ( 0.6) "
"   IBM Statistics 23","  1 ( 0.1) "
"   Instant Health Data platform","  1 ( 0.1) "
"   JAGs","  1 ( 0.1) "
"   JMP","  4 ( 0.4) "
"   Joinpoint Regression","  7 ( 0.6) "
"   KPSC Research & Evaluation (RE) NLP software","  1 ( 0.1) "
"   MATLAB","  1 ( 0.1) "
"   MetaMap","  1 ( 0.1) "
"   Microsoft Access","  1 ( 0.1) "
"   Mplus","  1 ( 0.1) "
"   Multi-Level Clinical Classification Software (MLCCS) (https://www.hcup-us.ahrq.gov/toolssoftware/ccs/ccs.jsp)","  1 ( 0.1) "
"   NCSS Statistical Software","  1 ( 0.1) "
"   None/Not Specified","281 (25.4) "
"   OpenEpi","  2 ( 0.2) "
"   Palantir Foundry","  1 ( 0.1) "
"   Palisade Corporation)","  1 ( 0.1) "
"   PASW Statistics 24 (SPSS)","  1 ( 0.1) "
"   PostgreSQL","  1 ( 0.1) "
"   Python","  9 ( 0.8) "
"   R","167 (15.1) "
"   RevMan","  1 ( 0.1) "
"   SAS","307 (27.7) "
"   Sentinel tools"," 19 ( 1.7) "
"   SPSS"," 81 ( 7.3) "
"   SQL","  2 ( 0.2) "
"   Stata","162 (14.6) "
"   STATISTICA PL 10.0 (StatSoft)","  1 ( 0.1) "
"   StatsDirect","  2 ( 0.2) "
"   treeScan software","  1 ( 0.1) "
"   VigiRank","  2 ( 0.2) "
